C03,2020-06-20-00-35-00,36600511.4147,0,5,1,1,4,1,4,7
C04,2020-06-20-00-35-00,38651068.1646,1,0,6,8,1,6,4,6
C05,2020-06-20-00-35-00,39695317.3365,5,3,1,7,3,3,6,5
C06,2020-06-20-00-35-00,38409321.3056,9,3,2,1,3,0,5,6
C07,2020-06-20-00-35-00,36414473.3597,4,4,7,3,3,5,9,7
C08,2020-06-20-00-35-00,39037331.2426,7,3,3,1,2,4,2,6
C09,2020-06-20-00-35-00,37144961.2817,4,9,6,1,2,8,1,7
C10,2020-06-20-00-35-00,37068791.9617,8,7,9,1,9,6,1,7
C12,2020-06-20-00-35-00,23865915.3366,5,9,1,5,3,3,6,6
C16,2020-06-20-00-35-00,38868733.0396,8,7,3,3,0,3,9,6
C24,2020-06-20-00-35-00,23976652.3447,6,6,5,2,3,4,4,7
C26,2020-06-20-00-35-00,21481793.2588,1,7,9,3,2,5,8,8
C29,2020-06-20-00-35-00,25861423.0635,1,4,2,3,0,6,3,5
G01,2020-06-20-00-35-00,23632596.9456,2,5,9,6,9,4,5,6
G04,2020-06-20-00-35-00,23046571.2896,6,5,7,1,2,8,9,6
G07,2020-06-20-00-35-00,22240945.5317,0,9,4,5,5,3,1,7
G08,2020-06-20-00-35-00,20223887.4698,3,8,8,7,4,6,9,8
G09,2020-06-20-00-35-00,22561168.5867,1,1,6,8,5,8,6,7
G11,2020-06-20-00-35-00,21183013.9777,3,0,1,3,9,7,7,7
G16,2020-06-20-00-35-00,22871852.3836,1,8,5,2,3,8,3,6
G21,2020-06-20-00-35-00,25409805.4775,9,8,0,5,4,7,7,5
G26,2020-06-20-00-35-00,25228280.6334,8,2,8,0,6,3,3,4
G27,2020-06-20-00-35-00,21540317.4777,0,3,1,7,4,7,7,7
C01,2020-06-20-00-40-00,37733823.4146,3,8,2,3,4,1,4,6
C02,2020-06-20-00-40-00,37702267.3836,2,2,6,7,3,8,3,6
C03,2020-06-20-00-40-00,36598122.6096,8,1,2,2,6,0,9,6
C04,2020-06-20-00-40-00,38649805.9146,9,8,0,5,9,1,4,6
C05,2020-06-20-00-40-00,39695047.1255,5,0,4,7,1,2,5,5
C06,2020-06-20-00-40-00,38506958.0946,6,9,5,8,0,9,4,6
C07,2020-06-20-00-40-00,36405401.9537,5,4,0,1,9,5,3,7
C08,2020-06-20-00-40-00,38929199.0316,9,1,9,9,0,3,1,6
C09,2020-06-20-00-40-00,37234803.5087,4,8,0,3,5,0,8,7
C10,2020-06-20-00-40-00,37057825.7427,7,8,2,5,7,4,2,7
C12,2020-06-20-00-40-00,23704428.2346,4,4,2,8,2,3,4,6
C16,2020-06-20-00-40-00,38971549.7586,1,5,4,9,7,5,8,6
C24,2020-06-20-00-40-00,23840746.7587,0,7,4,6,7,5,8,7
C26,2020-06-20-00-40-00,21464431.0168,4,4,3,1,0,1,6,8
C29,2020-06-20-00-40-00,26039340.3915,9,3,4,0,3,9,1,5
G01,2020-06-20-00-40-00,23421759.7196,1,7,5,9,7,1,9,6
G04,2020-06-20-00-40-00,23216768.3986,6,7,6,8,3,9,8,6
G07,2020-06-20-00-40-00,22081985.9847,1,9,8,5,9,8,4,7
G08,2020-06-20-00-40-00,20269670.1028,9,6,7,0,1,0,2,8
G09,2020-06-20-00-40-00,22657250.7117,7,2,5,0,7,1,1,7
G11,2020-06-20-00-40-00,21052381.7737,2,3,8,1,7,7,3,7
G16,2020-06-20-00-40-00,22987008.5866,7,0,0,8,5,8,6,6
G26,2020-06-20-00-40-00,25360735.1255,0,7,3,5,1,2,5,5
G27,2020-06-20-00-40-00,21691133.4617,1,1,3,3,4,6,1,7
C01,2020-06-20-00-45-00,37734185.4776,4,1,8,5,4,7,7,6
C02,2020-06-20-00-45-00,37701780.9386,1,7,8,0,9,3,8,6
C03,2020-06-20-00-45-00,36595719.1417,5,7,1,9,1,4,1,7
C04,2020-06-20-00-45-00,38648563.0636,8,5,6,3,0,6,3,6
C05,2020-06-20-00-45-00,39694738.3285,4,7,3,8,3,2,8,5
C06,2020-06-20-00-45-00,38604829.6416,4,8,2,9,6,4,1,6
C07,2020-06-20-00-45-00,36395409.8837,5,4,0,9,8,8,3,7
C08,2020-06-20-00-45-00,38821787.8286,1,7,8,7,8,2,8,6
